iteration,runAtUtc,phase,netA,deltaDay,wLL,wLR,wRL,wRR,wCrossed,wUncrossed,activeCount,functionalCount,formed,pruned,cMean,saturated,done,doneReason,transition
1,2026-06-24T10:48:42.088145Z,build,0.8798,,0.0000,0.3584,0.3584,0.0000,0.3584,0.0000,4,2,2,0,3.1164,false,false,,
2,2026-06-24T10:48:45.003623Z,build,0.9091,0.0294,0.0000,0.4577,0.4577,0.0000,0.4577,0.0000,4,2,0,0,6.1186,false,false,,
3,2026-06-24T10:48:47.883622Z,build,0.9239,0.0148,0.0000,0.5186,0.5186,0.0000,0.5186,0.0000,4,2,0,0,9.0108,false,false,,
4,2026-06-24T11:49:03.806372Z,build,0.9009,0.0230,0.0000,0.5631,0.5631,0.0000,0.5631,0.0000,4,2,0,0,11.7971,false,false,,
5,2026-06-24T12:49:03.996378Z,build,0.8980,0.0029,0.0000,0.5985,0.5985,0.0000,0.5985,0.0000,4,2,0,0,14.4812,false,false,,
6,2026-06-24T13:49:06.077656Z,build,0.8919,0.0061,0.0000,0.6280,0.6280,0.0000,0.6280,0.0000,4,2,0,0,17.0669,false,false,,
7,2026-06-24T14:49:03.981466Z,build,0.9254,0.0335,0.0000,0.6535,0.6535,0.0000,0.6535,0.0000,4,2,0,0,19.5579,false,false,,
8,2026-06-24T15:49:03.941263Z,build,0.8906,0.0348,0.0000,0.6760,0.6760,0.0000,0.6760,0.0000,4,2,0,0,21.9577,false,false,,
9,2026-06-24T22:35:39.197836Z,build,0.9279,0.0373,0.0000,0.6963,0.6963,0.0000,0.6963,0.0000,4,2,0,0,24.2694,false,false,,
10,2026-06-24T23:49:03.785072Z,build,0.9233,0.0046,0.0000,0.7147,0.7147,0.0000,0.7147,0.0000,4,2,0,0,26.4965,false,false,,
11,2026-06-25T00:49:03.784830Z,build,0.8770,0.0464,0.0000,0.7317,0.7317,0.0000,0.7317,0.0000,4,2,0,0,28.6420,false,false,,
12,2026-06-25T01:49:03.835216Z,build,0.8917,0.0148,0.0000,0.7476,0.7476,0.0000,0.7476,0.0000,4,2,0,0,30.7088,false,false,,
13,2026-06-25T02:49:03.862457Z,build,0.8725,0.0193,0.0000,0.7624,0.7624,0.0000,0.7624,0.0000,4,2,0,0,32.6999,false,false,,
14,2026-06-25T03:49:03.934688Z,build,0.8687,0.0038,0.0000,0.7763,0.7763,0.0000,0.7763,0.0000,4,2,0,0,34.6180,true,false,,build->reversal
15,2026-06-25T04:49:04.249383Z,reversal,0.7745,0.0942,0.3584,0.7631,0.7631,0.3584,0.7631,0.3584,4,4,2,0,39.5823,false,false,,
16,2026-06-25T05:49:03.993491Z,reversal,0.8198,0.0454,0.4577,0.7505,0.7505,0.4577,0.7505,0.4577,4,4,0,0,44.3646,false,false,,
17,2026-06-25T06:49:04.152319Z,reversal,0.8436,0.0238,0.5186,0.7385,0.7385,0.5186,0.7385,0.5186,4,4,0,0,48.9717,false,false,,
18,2026-06-25T07:49:04.025582Z,reversal,0.8040,0.0397,0.5631,0.7270,0.7270,0.5631,0.7270,0.5631,4,4,0,0,53.4100,false,false,,
19,2026-06-25T08:49:03.963062Z,reversal,0.7489,0.0550,0.5985,0.7159,0.7159,0.5985,0.7159,0.5985,4,4,0,0,57.6856,false,false,,
20,2026-06-25T09:49:03.997541Z,reversal,0.7101,0.0388,0.6280,0.7051,0.7051,0.6280,0.7051,0.6280,4,4,0,0,61.8046,false,false,,
21,2026-06-25T10:49:04.088606Z,reversal,0.6959,0.0143,0.6535,0.6948,0.6948,0.6535,0.6948,0.6535,4,4,0,0,65.7726,false,false,,
22,2026-06-25T11:49:04.237220Z,reversal,0.6289,0.0669,0.6760,0.6848,0.6848,0.6760,0.6848,0.6760,4,4,0,0,69.5952,false,false,,
23,2026-06-25T12:49:04.458350Z,reversal,0.5923,0.0367,0.6963,0.6750,0.6750,0.6963,0.6750,0.6963,4,4,0,0,73.2777,false,false,,
24,2026-06-25T13:49:04.104137Z,reversal,0.5081,0.0842,0.7147,0.6655,0.6655,0.7147,0.6655,0.7147,4,4,0,0,76.8253,false,false,,
25,2026-06-25T14:49:04.148867Z,reversal,0.4578,0.0503,0.7317,0.6563,0.6563,0.7317,0.6563,0.7317,4,4,0,0,80.2428,false,false,,
26,2026-06-25T21:54:20.198815Z,reversal,0.4100,0.0478,0.7476,0.6472,0.6472,0.7476,0.6472,0.7476,4,4,0,0,83.5352,false,false,,
27,2026-06-25T23:49:03.778240Z,reversal,0.3748,0.0352,0.7624,0.6384,0.6384,0.7624,0.6384,0.7624,4,4,0,0,86.7069,false,false,,
28,2026-06-26T00:49:03.263860Z,reversal,0.3388,0.0360,0.7763,0.6298,0.6298,0.7763,0.6298,0.7763,4,4,0,0,89.7623,false,false,,
29,2026-06-26T01:49:03.471624Z,reversal,0.3103,0.0285,0.7896,0.6213,0.6213,0.7896,0.6213,0.7896,4,4,0,0,92.7058,false,false,,
30,2026-06-26T02:49:03.411249Z,reversal,0.2977,0.0125,0.8022,0.6130,0.6130,0.8022,0.6130,0.8022,4,4,0,0,95.5415,false,false,,
31,2026-06-26T03:49:03.396074Z,reversal,0.2796,0.0182,0.8142,0.6049,0.6049,0.8142,0.6049,0.8142,4,4,0,0,98.2732,false,true,max-iterations,
